date,week_label,theme,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-01-08,2025-01-08,마스크,1.8094863388634626,24,159,0.2770014675064523,True
2025-01-08,2025-01-08,전선,2.0000000000000013,9,30,0.4491134975633413,True
2025-01-08,2025-01-08,카카오뱅크(kakao BANK),1.7511206662823497,11,31,0.31362756450351165,True
2025-01-08,2025-01-08,STO(토큰증권 발행),10.85454464724423,29,302,0.36179607986365314,True
2025-01-08,2025-01-08,리모델링/인테리어,0.9887419572322459,25,172,0.2518967305265943,True
2025-01-08,2025-01-08,전자결제(전자화폐),0.9472791122577415,15,56,0.2696359150878505,True
2025-01-08,2025-01-08,핀테크(FinTech),3.965432773569242,37,369,0.26559710566965233,True
2025-01-08,2025-01-08,모바일콘텐츠(스마트폰/태블릿PC),3.5838320509501647,38,372,0.2609601271240706,True
2025-01-08,2025-01-08,애플페이,0.0,10,25,0.32584044993056316,False
2025-01-08,2025-01-08,삼성페이,4.964717557314045,28,225,0.26164214753735227,True
2025-01-08,2025-01-08,철강 주요종목,4.0,11,45,0.45026313954167446,True
2025-01-08,2025-01-08,농업,1.4032629067972116,27,209,0.307118562052318,True
2025-01-08,2025-01-08,비료,0.9736264002482986,12,46,0.36088614105528366,True
2025-01-08,2025-01-08,요소수,2.0,5,8,0.41788370619242,True
2025-01-08,2025-01-08,갤럭시 부품주,5.982288894351188,41,715,0.45836763003960296,True
2025-01-08,2025-01-08,휴대폰부품,6.92258848061791,51,959,0.3868998468757428,True
2025-01-08,2025-01-08,스마트폰,2.015180252661465,70,1616,0.3321540866734323,True
2025-01-08,2025-01-08,폴더블폰,3.821543075628438,31,367,0.4110346753937065,True
2025-01-08,2025-01-08,석유화학,1.9898864202100655,22,182,0.4066534791474909,True
2025-01-08,2025-01-08,양자암호/양자컴퓨팅,0.5440973184464477,28,186,0.2584549820200896,True
2025-01-08,2025-01-08,블록체인,2.558482660439829,26,188,0.29942873044533963,True
2025-01-08,2025-01-08,드론(Drone),2.9003943308279445,30,254,0.2924860768874433,True
2025-01-08,2025-01-08,5G(5세대 이동통신),1.4466279841542755,59,746,0.22084537786089362,True
2025-01-08,2025-01-08,RFID(NFC 등),5.920995230735164,18,99,0.18612069641084597,True
2025-01-08,2025-01-08,통신,0.8299135133739666,5,6,0.3721044707951803,True
2025-01-08,2025-01-08,골프,0.9824553065727839,15,57,0.26581995979565687,True
2025-01-08,2025-01-08,IT 대표주,1.9748306356175331,10,34,0.404071108701163,True
2025-01-08,2025-01-08,2025 상반기 신규상장,1.697224362268006,7,13,0.2988576590298,True
2025-01-08,2025-01-08,마이크로 LED,0.6534213393366557,12,42,0.28471608139366417,True
2025-01-08,2025-01-08,스테이블코인,1.8785368899790174,22,108,0.24066648446264252,True
2025-01-08,2025-01-08,스마트팩토리(스마트공장),3.9214521829125166,39,486,0.33822838616148465,True
2025-01-08,2025-01-08,리튬,0.0,25,241,,False
2025-01-08,2025-01-08,지능형로봇/인공지능(AI),6.947474593149369,59,1409,0.42846802450223,True
2025-01-08,2025-01-08,아이폰,5.952189003449704,26,257,0.40219807074579716,True
2025-01-08,2025-01-08,2차전지(전고체),17.903897587879182,33,502,0.5479908740775851,True
2025-01-08,2025-01-08,2차전지(나트륨이온),2.811328690433788,12,48,0.3684349225986354,True
2025-01-08,2025-01-08,2차전지(생산),5.0,5,10,0.5800412304989202,True
2025-01-08,2025-01-08,전기차(충전소/충전기),1.9785686082554998,35,444,0.39492070558489323,True
2025-01-08,2025-01-08,제습기,0.0,9,18,0.28362009696507884,False
2025-01-08,2025-01-08,공기청정기,0.0,13,48,0.31541641302799045,False
2025-01-08,2025-01-08,무선충전기술,1.32871238152293,13,49,0.39211187567413364,True
2025-01-08,2025-01-08,니켈,0.945496640759395,16,82,0.3370632395327926,True
2025-01-08,2025-01-08,LED,0.0,45,621,,False
2025-01-08,2025-01-08,카메라모듈/부품,1.878324814148062,32,339,0.3306311828702727,True
2025-01-08,2025-01-08,바이오시밀러(복제 바이오의약품),0.9880710858383597,24,195,0.3609468771359399,True
2025-01-08,2025-01-08,탄소나노튜브(CNT),0.0,6,9,0.3345942732784507,False
2025-01-08,2025-01-08,로봇(산업용/협동로봇 등),2.9272208263686657,55,1067,0.3839369909199449,True
2025-01-08,2025-01-08,항공기부품,0.0,16,74,,False
2025-01-08,2025-01-08,전기차 화재 방지(배터리 열폭주 등),0.0,39,495,,False
2025-01-08,2025-01-08,고체산화물 연료전지(SOFC),0.8279620057279391,15,67,0.360138030168328,True
2025-01-08,2025-01-08,초전도체,1.989372075241885,18,126,0.4504921988522918,True
2025-01-08,2025-01-08,해저터널(지하화/지하도로 등),1.2038708391722982e-15,8,15,0.25007315747812636,True
2025-01-08,2025-01-08,네옴시티,0.0,29,213,0.2919978407221369,False
2025-01-08,2025-01-08,딥페이크(deepfake),0.0,15,73,0.33509097426351436,False
2025-01-08,2025-01-08,모바일솔루션(스마트폰),0.0,24,128,0.21177955764510178,False
2025-01-08,2025-01-08,"주류업(주정, 에탄올 등)",0.9643139859681735,13,55,0.32931068464467783,True
2025-01-08,2025-01-08,AI 챗봇(챗GPT 등),0.0,30,246,,False
2025-01-08,2025-01-08,음성인식,0.0,14,40,,False
2025-01-08,2025-01-08,SNS(소셜네트워크서비스),0.0,11,18,0.17000047542893226,False
2025-01-08,2025-01-08,모바일게임(스마트폰),4.705814757585641,41,425,0.2604189108976133,True
2025-01-08,2025-01-08,게임,7.054478592230782,35,302,0.25553206053837935,True
