theme,abnormality,fiedler_today,fiedler_baseline,fiedler_change,pct_change,num_stocks,stock_list
비만치료제,"LARGE_DECREASE, DISCONNECTION",0.0,19.154822851824157,-19.154822851824157,-100.0,39,"DXVX, HK이노엔, HLB, HLB제약, HLB펩, LG, LG화학, 고바이오랩, 광동제약, 나이벡"
수소차(연료전지/부품/충전소 등),LARGE_DECREASE,1.7945538309679754,43.5059414756549,-41.71138764468692,-95.87515228932081,82,"DYP, EG, HS효성, HS효성첨단소재, LS, LS ELECTRIC, SJG세종, SK, SNT모티브, 기아"
LPG(액화석유가스),LARGE_DECREASE,1.6689067894100469,5.627869866366041,-3.958963076955994,-70.3456755568573,10,"E1, GS, S-Oil, SK, SK가스, SK이노베이션, 극동유화, 대성산업, 중앙에너비스, 흥구석유"
셰일가스(Shale Gas),LARGE_DECREASE,0.9638569780614821,6.443285428540047,-5.479428450478565,-85.04090826409536,14,"E1, SH에너지화학, SK, SK가스, SNT에너지, 두산, 두산에너빌리티, 비에이치, 비에이치아이, 우림피티에스"
가상현실(VR),LARGE_DECREASE,0.7050917893380942,14.6952485675396,-13.990156778201506,-95.20190634341786,34,"E8, LG, LG전자, SOOP, 나무가, 데브시스터즈, 덱스터, 동운아나텍, 디오, 라온텍"
2차전지(LFP/리튬인산철),"LARGE_DECREASE, DISCONNECTION",0.0,7.872105304929436,-7.872105304929436,-100.0,15,"EG, LG, LG에너지솔루션, SK, SK이노베이션, 브이티, 소프트센, 씨아이에스, 아모그린텍, 엘앤에프"
페라이트,"LARGE_DECREASE, DISCONNECTION",0.0,7.861283324463712,-7.861283324463712,-100.0,16,"EG, 나노, 미래나노텍, 삼화전기, 삼화전자, 상신전자, 씨큐브, 아모그린텍, 아모센스, 알엔투테크놀로지"
희귀금속(희토류 등),"LARGE_DECREASE, DISCONNECTION",0.0,7.594794068447149,-7.594794068447149,-100.0,17,"EG, LS, LS에코에너지, POSCO홀딩스, 그린리소스, 노바텍, 대원, 대원화성, 동국알앤에스, 바텍"
쿠팡(coupang),"LARGE_DECREASE, DISCONNECTION",0.0,11.621677801889325,-11.621677801889325,-100.0,23,"ESR켄달스퀘어리츠, KCTC, NEW, 갤럭시아머니트리, 다날, 동방, 디아이, 디아이씨, 미래생명자원, 서울식품"
리츠(REITs),LARGE_DECREASE,0.9643763012000892,11.556439469913393,-10.592063168713304,-91.65507417997738,24,"ESR켄달스퀘어리츠, KB스타리츠, NH올원리츠, NH프라임리츠, SK, SK리츠, 디앤디플랫폼리츠, 롯데리츠, 마스턴프리미어리츠, 미래에셋글로벌리츠"
