name,naverTheme
CSA 코스믹,"['수자원(양적/질적 개선)', '화장품']"
CS홀딩스,['지주사']
DB,"['증권', 'SI(시스템통합)', '반도체 대표주(생산)', '코리아 밸류업 지수(Korea Value-up Index)', '클라우드 컴퓨팅', '밸류업(25년 기업가치 제고계획 발표)', '시스템반도체', '밸류업(24년 기업가치 제고계획 발표)', '지주사', '스마트카(SMART CAR)', '교육/온라인 교육', '기업인수목적회사(SPAC)', '손해보험']"
DB금융스팩12호,['기업인수목적회사(SPAC)']
DB손해보험,"['코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '손해보험']"
DB증권,"['증권', '밸류업(24년 기업가치 제고계획 발표)']"
DB하이텍,"['반도체 대표주(생산)', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '시스템반도체', '밸류업(24년 기업가치 제고계획 발표)', '스마트카(SMART CAR)']"
DH오토리드,['자동차부품']
DH오토웨어,"['4차산업 수혜주', '자율주행차', '자동차부품']"
DI동일,"['비철금속', '2차전지', '2차전지(소재/부품)', '밸류업(25년 기업가치 제고계획 발표)', '여름']"
DL,"['건설 대표주', '지주사', 'GTX(수도권 광역급행철도)', '원자력발전']"
DL이앤씨,"['건설 대표주', 'GTX(수도권 광역급행철도)', '원자력발전']"
DN오토모티브,"['자동차부품', '지주사']"
DRB동일,['지주사']
DSC인베스트먼트,"['4차산업 수혜주', '창투사', '퓨리오사AI', '두나무(Dunamu)', '일자리(취업)', '마켓컬리(kurly)']"
DSR제강,['철강 중소형']
DS단석,['폐배터리']
DXVX,"['비만치료제', '건강기능식품', '마이크로바이옴', '마이코플라스마 폐렴', '메르스 코로나 바이러스']"
DYP,"['자동차부품', '수소차(연료전지/부품/충전소 등)']"
E1,"['셰일가스(Shale Gas)', 'LPG(액화석유가스)']"
E8,['가상현실(VR)']
EG,"['2차전지(LFP/리튬인산철)', '희귀금속(희토류 등)', '수소차(연료전지/부품/충전소 등)', '페라이트']"
ESR켄달스퀘어리츠,"['리츠(REITs)', '쿠팡(coupang)']"
F&F,"['코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '패션/의류', '지주사']"
F&F홀딩스,['지주사']
FSN,"['NFT(대체불가토큰)', '광고', '가상화폐(비트코인 등)']"
GH신소재,"['자동차부품', '코로나19(음압병실/음압구급차)']"
GKL,['카지노']
GRT,['국내 상장 중국기업']
GS,"['정유', '종합상사', '자원개발', 'UAM(도심항공모빌리티)', '윤활유', 'LNG(액화천연가스)', '인터넷은행', '건설 대표주', '소매유통', '냉각시스템(액침냉각 등)', '홈쇼핑', '밸류업(25년 기업가치 제고계획 발표)', '모듈러주택', 'LPG(액화석유가스)', '지주사', '콜드체인(저온 유통)', '수자원(양적/질적 개선)', 'GTX(수도권 광역급행철도)', '원자력발전', '호텔/리조트', '반도체 장비', '편의점']"
GST,"['냉각시스템(액침냉각 등)', '콜드체인(저온 유통)', '반도체 장비']"
GS건설,"['건설 대표주', '모듈러주택', '수자원(양적/질적 개선)', 'GTX(수도권 광역급행철도)', '원자력발전']"
GS글로벌,"['종합상사', '자원개발']"
GS리테일,"['인터넷은행', '소매유통', '홈쇼핑', '편의점']"
GS피앤엘,"['지주사', '호텔/리조트']"
HB솔루션,"['플렉서블 디스플레이', 'OLED(유기 발광 다이오드)']"
HB인베스트먼트,['창투사']
HB테크놀러지,"['2차전지(장비)', '2차전지', '유리 기판', 'OLED(유기 발광 다이오드)']"
HC보광산업,"['아스콘(아스팔트 콘크리트)', '시멘트/레미콘']"
HC홈센타,"['아스콘(아스팔트 콘크리트)', '시멘트/레미콘', '4대강 복원']"
HDC,"['스마트홈(홈네트워크)', '건설 대표주', '자동차부품', '철도', '면세점', '지주사', 'GTX(수도권 광역급행철도)', '재난/안전(지진/화재 등)', '호텔/리조트', '사물인터넷']"
HDC랩스,"['스마트홈(홈네트워크)', '철도', '사물인터넷']"
HDC현대EP,"['자동차부품', '재난/안전(지진/화재 등)']"
HDC현대산업개발,"['건설 대표주', 'GTX(수도권 광역급행철도)', '호텔/리조트']"
HD한국조선해양,"['조선', 'LNG(액화천연가스)', '방위산업/전쟁 및 테러', '밸류업(24년 기업가치 제고계획 발표)', '지주사']"
HD현대,"['조선', '조선기자재', 'LNG(액화천연가스)', '코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '밸류업(24년 기업가치 제고계획 발표)', '태양광에너지', '지주사', '건설기계', '우크라이나 재건', '전력설비']"
HD현대건설기계,"['밸류업(24년 기업가치 제고계획 발표)', '건설기계', '우크라이나 재건']"
HD현대마린솔루션,"['조선기자재', '밸류업(24년 기업가치 제고계획 발표)']"
HD현대마린엔진,['조선기자재']
HD현대에너지솔루션,"['전력저장장치(ESS)', '태양광에너지']"
HD현대인프라코어,"['LNG(액화천연가스)', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(24년 기업가치 제고계획 발표)', '건설기계', '우크라이나 재건']"
HD현대일렉트릭,"['코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '밸류업(24년 기업가치 제고계획 발표)', '전력설비']"
HD현대중공업,"['조선', 'LNG(액화천연가스)', '밸류업(24년 기업가치 제고계획 발표)']"
HEM파마,['마이크로바이옴']
HJ중공업,"['조선', 'LNG(액화천연가스)', '방위산업/전쟁 및 테러', 'GTX(수도권 광역급행철도)']"
HK이노엔,"['비만치료제', '제약업체', '밸류업(24년 기업가치 제고계획 발표)', '건강기능식품', '엠폭스(원숭이두창)', '음식료업종']"
HL D&I,"['GTX(수도권 광역급행철도)', '건설 중소형']"
HLB,"['마리화나(대마)', '고령화 사회(노인복지)', '비만치료제', '유전자 치료제/분석', '제약업체', '면역항암제', '줄기세포', '의료기기', '치매', '반도체 재료/부품', '콜드체인(저온 유통)', '코로나19(진단/치료제/백신 개발 등)', '화장품', '건강기능식품', '마이크로바이옴', '코로나19(진단키트)']"
HLB글로벌,['화장품']
HLB바이오스텝,['마리화나(대마)']
HLB생명과학,"['줄기세포', '의료기기']"
HLB이노베이션,['반도체 재료/부품']
HLB제넥스,"['유전자 치료제/분석', '코로나19(진단/치료제/백신 개발 등)', '마이크로바이옴', '코로나19(진단키트)']"
HLB제약,"['고령화 사회(노인복지)', '비만치료제', '제약업체', '치매', '건강기능식품']"
HLB테라퓨틱스,['콜드체인(저온 유통)']
HLB파나진,['유전자 치료제/분석']
HLB펩,"['비만치료제', '화장품']"
HL만도,"['로봇(산업용/협동로봇 등)', '자동차 대표주', '자율주행차', '리비안(RIVIAN)', '자동차부품', '전기차', '스마트카(SMART CAR)']"
HL홀딩스,"['자동차부품', '밸류업(24년 기업가치 제고계획 발표)', '지주사']"
HMM,"['코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '해운']"
HPSP,"['온디바이스 AI', '코리아 밸류업 지수(Korea Value-up Index)', '반도체 장비']"
HRS,"['재난/안전(지진/화재 등)', '원자력발전']"
HS애드,"['밸류업(25년 기업가치 제고계획 발표)', '광고']"
HS화성,['건설 중소형']
HS효성,"['타이어', '자동차부품', '수소차(연료전지/부품/충전소 등)', '지주사']"
HS효성첨단소재,"['타이어', '자동차부품', '수소차(연료전지/부품/충전소 등)']"
IBKS제23호스팩,['기업인수목적회사(SPAC)']
IBKS제24호스팩,['기업인수목적회사(SPAC)']
INVENI,"['지주사', '겨울', '도시가스']"
ISC,"['밸류업(24년 기업가치 제고계획 발표)', '반도체 재료/부품', '지주사']"
JB금융지주,"['코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '밸류업(24년 기업가치 제고계획 발표)', '지주사', '은행']"
JTC,['면세점']
JW생명과학,['제약업체']
JW신약,"['탈모 치료', '제약업체']"
JW중외제약,"['황사/미세먼지', '고령화 사회(노인복지)', '제약업체', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '코로나19(치료제/백신 개발 등)', '코로나19(진단/치료제/백신 개발 등)', '마스크']"
JW홀딩스,['지주사']
JYP Ent.,"['음원/음반', '엔터테인먼트', '코리아 밸류업 지수(Korea Value-up Index)', '영상콘텐츠']"
KBI동양철관,"['강관업체(Steel pipe)', '남-북-러 가스관사업', '철강 중소형', '수자원(양적/질적 개선)']"
KBI메탈,"['자동차부품', '전선']"
KB금융,"['STO(토큰증권 발행)', '인터넷은행', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(24년 기업가치 제고계획 발표)', '지주사', '카카오뱅크(kakao BANK)', '은행']"
KB스타리츠,['리츠(REITs)']
KB오토시스,['자동차부품']
KB제25호스팩,['기업인수목적회사(SPAC)']
KB제27호스팩,['기업인수목적회사(SPAC)']
KB제29호스팩,['기업인수목적회사(SPAC)']
KB제30호스팩,['기업인수목적회사(SPAC)']
KB제31호스팩,['기업인수목적회사(SPAC)']
KCC,"['밸류업(25년 기업가치 제고계획 발표)', '페인트', '태양광에너지', '리모델링/인테리어', '건설 중소형']"
KCC건설,['건설 중소형']
KCC글라스,['리모델링/인테리어']
KCTC,"['쿠팡(coupang)', '종합 물류']"
KD,['건설 중소형']
KEC,"['전기차', '반도체 재료/부품']"
KG모빌리언스,"['인터넷은행', '삼성페이', '핀테크(FinTech)', '전자결제(전자화폐)', '모바일콘텐츠(스마트폰/태블릿PC)', '애플페이', '가상화폐(비트코인 등)']"
KG모빌리티,"['자동차 대표주', '자율주행차', '전기차']"
KG스틸,"['철강 주요종목', '밸류업(25년 기업가치 제고계획 발표)']"
KG이니시스,"['인터넷은행', '삼성페이', '밸류업(24년 기업가치 제고계획 발표)', '핀테크(FinTech)', '전자결제(전자화폐)', '애플페이']"
KG케미칼,"['2차전지', '2차전지(소재/부품)', '밸류업(25년 기업가치 제고계획 발표)', '농업', '요소수', '수자원(양적/질적 개선)', '비료']"
KH바텍,"['휴대폰부품', '갤럭시 부품주', '스마트폰', '폴더블폰']"
KISCO홀딩스,['지주사']
KNN,['미디어(방송/신문)']
KPX케미칼,"['석유화학', '반도체 재료/부품']"
KPX홀딩스,['지주사']
KSS해운,['해운']
KS인더스트리,['조선기자재']
KT,"['4차산업 수혜주', 'UAM(도심항공모빌리티)', '스마트홈(홈네트워크)', '메타버스(Metaverse)', '음원/음반', '드론(Drone)', '자율주행차', '인터넷은행', '엔터테인먼트', '5G(5세대 이동통신)', '양자암호/양자컴퓨팅', '코리아 밸류업 지수(Korea Value-up Index)', '클라우드 컴퓨팅', '밸류업(25년 기업가치 제고계획 발표)', '통신', '밸류업(24년 기업가치 제고계획 발표)', '핀테크(FinTech)', '건강기능식품', 'RFID(NFC 등)', '광고', '블록체인', '모바일콘텐츠(스마트폰/태블릿PC)']"
KT&G,"['코리아 밸류업 지수(Korea Value-up Index)', '밸류업(24년 기업가치 제고계획 발표)', '건강기능식품']"
KT나스미디어,['광고']
KT밀리의서재,['모바일콘텐츠(스마트폰/태블릿PC)']
KT지니뮤직,"['음원/음반', '엔터테인먼트', '모바일콘텐츠(스마트폰/태블릿PC)']"
KX,"['밸류업(25년 기업가치 제고계획 발표)', '반도체 재료/부품', '영상콘텐츠', '골프']"
KX하이텍,['반도체 재료/부품']
LB세미콘,['시스템반도체']
LB인베스트먼트,"['창투사', '퓨리오사AI']"
LF,['패션/의류']
LG,"['스마트팩토리(스마트공장)', '니켈', '2차전지(LFP/리튬인산철)', '4차산업 수혜주', '2차전지(전고체)', '2차전지(생산)', '지능형로봇/인공지능(AI)', 'UAM(도심항공모빌리티)', '휴대폰부품', 'SI(시스템통합)', '스마트홈(홈네트워크)', '스마트폰', '메타버스(Metaverse)', '폐배터리', '카메라모듈/부품', '리튬', '제습기', '고령화 사회(노인복지)', '2차전지', '자율주행차', '아이폰', '석유화학', '스페이스X(SpaceX)', '비만치료제', '공기청정기', '자동차부품', '5G(5세대 이동통신)', '양자암호/양자컴퓨팅', '플렉서블 디스플레이', '2차전지(소재/부품)', '냉각시스템(액침냉각 등)', '전기차', 'IT 대표주', '코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '클라우드 컴퓨팅', '통신', '전기차(충전소/충전기)', '바이오시밀러(복제 바이오의약품)', '2차전지(나트륨이온)', '가상현실(VR)', '밸류업(24년 기업가치 제고계획 발표)', '탄소나노튜브(CNT)', '폴더블폰', '무선충전기술', '지주사', '스마트카(SMART CAR)', 'OLED(유기 발광 다이오드)', '화장품', '건강기능식품', '마이크로바이옴', '마이크로 LED', '사물인터넷', 'LED', '여름', '스테이블코인', '블록체인', '음식료업종']"
LG디스플레이,"['스마트폰', '아이폰', '플렉서블 디스플레이', 'IT 대표주', '밸류업(24년 기업가치 제고계획 발표)', '폴더블폰', 'OLED(유기 발광 다이오드)']"
LG생활건강,"['밸류업(24년 기업가치 제고계획 발표)', '화장품', '건강기능식품', '마이크로바이옴', '여름', '음식료업종']"
LG에너지솔루션,"['니켈', '2차전지(LFP/리튬인산철)', '2차전지(전고체)', '2차전지(생산)', '폐배터리', '리튬', '2차전지', '스페이스X(SpaceX)', '전기차', '전력저장장치(ESS)', '2차전지(나트륨이온)', '밸류업(24년 기업가치 제고계획 발표)']"
LG유플러스,"['4차산업 수혜주', 'UAM(도심항공모빌리티)', '스마트홈(홈네트워크)', '메타버스(Metaverse)', '5G(5세대 이동통신)', '양자암호/양자컴퓨팅', '통신', '전기차(충전소/충전기)', '밸류업(24년 기업가치 제고계획 발표)', '사물인터넷']"
LG이노텍,"['휴대폰부품', '스마트폰', '메타버스(Metaverse)', '카메라모듈/부품', '자율주행차', '아이폰', '자동차부품', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(24년 기업가치 제고계획 발표)', '무선충전기술', '스마트카(SMART CAR)']"
LG전자,"['4차산업 수혜주', '지능형로봇/인공지능(AI)', '스마트홈(홈네트워크)', '제습기', '자율주행차', '공기청정기', '5G(5세대 이동통신)', '냉각시스템(액침냉각 등)', '전기차', 'IT 대표주', '전력저장장치(ESS)', '가상현실(VR)', '밸류업(24년 기업가치 제고계획 발표)', '무선충전기술', 'OLED(유기 발광 다이오드)', '마이크로 LED', 'LED']"
LG헬로비전,['전기차(충전소/충전기)']
LG화학,"['니켈', '리튬', '고령화 사회(노인복지)', '2차전지', '아이폰', '석유화학', '비만치료제', '2차전지(소재/부품)', '전기차', '바이오시밀러(복제 바이오의약품)', '밸류업(24년 기업가치 제고계획 발표)', '탄소나노튜브(CNT)', '폴더블폰', 'OLED(유기 발광 다이오드)']"
LIG넥스원,"['로봇(산업용/협동로봇 등)', 'UAM(도심항공모빌리티)', '우주항공산업(누리호/인공위성 등)', '방위산업/전쟁 및 테러', '드론(Drone)', '코리아 밸류업 지수(Korea Value-up Index)', '항공기부품']"
LK삼양,"['우주항공산업(누리호/인공위성 등)', '카메라모듈/부품', '전기차 화재 방지(배터리 열폭주 등)']"
LS,"['로봇(산업용/협동로봇 등)', '스마트팩토리(스마트공장)', '증권', '스마트그리드(지능형전력망)', '희귀금속(희토류 등)', '풍력에너지', '5G(5세대 이동통신)', '수소차(연료전지/부품/충전소 등)', '전기차', '코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '통신장비', '패션/의류', '태양광에너지', '고체산화물 연료전지(SOFC)', '무선충전기술', '지주사', '네옴시티', '재난/안전(지진/화재 등)', '원자력발전', '초전도체', '전선', '전력설비', '해저터널(지하화/지하도로 등)']"
LS ELECTRIC,"['스마트팩토리(스마트공장)', '스마트그리드(지능형전력망)', '수소차(연료전지/부품/충전소 등)', '전기차', '코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '태양광에너지', '원자력발전', '초전도체', '전력설비']"
LS네트웍스,['패션/의류']
LS마린솔루션,"['풍력에너지', '5G(5세대 이동통신)', '통신장비', '재난/안전(지진/화재 등)', '전선', '전력설비', '해저터널(지하화/지하도로 등)']"
LS머트리얼즈,"['풍력에너지', '전기차', '고체산화물 연료전지(SOFC)']"
LS에코에너지,"['희귀금속(희토류 등)', '풍력에너지', '5G(5세대 이동통신)', '지주사', '네옴시티', '전선', '전력설비']"
LS증권,['증권']
LS티라유텍,"['로봇(산업용/협동로봇 등)', '스마트팩토리(스마트공장)']"
LX세미콘,"['아이폰', '시스템반도체', 'OLED(유기 발광 다이오드)']"
LX인터내셔널,"['종합상사', '자원개발', '니켈']"
LX하우시스,"['자동차부품', '리모델링/인테리어']"
LX홀딩스,['지주사']
M83,"['딥페이크(deepfake)', '영상콘텐츠']"
MDS테크,"['스마트팩토리(스마트공장)', '4차산업 수혜주', '자율주행차', '모바일솔루션(스마트폰)', '스마트카(SMART CAR)']"
MH에탄올,"['주류업(주정, 에탄올 등)']"
NAVER,"['4차산업 수혜주', '메타버스(Metaverse)', '자율주행차', 'SNS(소셜네트워크서비스)', 'AI 챗봇(챗GPT 등)', 'NFT(대체불가토큰)', '클라우드 컴퓨팅', '핀테크(FinTech)', '웹툰', '음성인식', '마이데이터', '스테이블코인', '블록체인', '모바일콘텐츠(스마트폰/태블릿PC)', '게임', '모바일게임(스마트폰)', '인터넷 대표주']"
NEW,"['엔터테인먼트', '영화', '영상콘텐츠', '쿠팡(coupang)']"
NE능률,['교육/온라인 교육']
NHN,"['음원/음반', 'SNS(소셜네트워크서비스)', '삼성페이', '핀테크(FinTech)', '전자결제(전자화폐)', '재택근무/스마트워크', '웹툰', '스테이블코인', '모바일콘텐츠(스마트폰/태블릿PC)', '애플페이', '게임', '모바일게임(스마트폰)']"
NHN KCP,"['삼성페이', '핀테크(FinTech)', '전자결제(전자화폐)', '스테이블코인', '애플페이']"
NHN벅스,"['음원/음반', 'SNS(소셜네트워크서비스)', '모바일콘텐츠(스마트폰/태블릿PC)']"
NH올원리츠,['리츠(REITs)']
NH투자증권,"['증권', 'STO(토큰증권 발행)', '인터넷은행']"
NH프라임리츠,['리츠(REITs)']
NICE,"['인터넷은행', '화폐/금융자동화기기(디지털화폐 등)', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '전기차(충전소/충전기)', '지주사', '키오스크(KIOSK)', '마이데이터', '애플페이']"
NICE인프라,"['화폐/금융자동화기기(디지털화폐 등)', '전기차(충전소/충전기)', '키오스크(KIOSK)']"
NICE평가정보,"['인터넷은행', '코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '마이데이터']"
NI스틸,['철강 중소형']
NPC,['폐배터리']
OCI,"['태양광에너지', '반도체 재료/부품', '지주사']"
OCI홀딩스,"['태양광에너지', '지주사']"
PI첨단소재,"['PCB(FPCB 등)', '갤럭시 부품주', '2차전지', '5G(5세대 이동통신)', '플렉서블 디스플레이', '2차전지(소재/부품)', '폴더블폰', 'OLED(유기 발광 다이오드)', '日 수출 규제(국산화 등)']"
PKC,['메르스 코로나 바이러스']
PN풍년,['밥솥']
POSCO홀딩스,"['니켈', 'LNG(액화천연가스)', '폐배터리', '리튬', '2차전지', '희귀금속(희토류 등)', '풍력에너지', '철강 주요종목', '환율하락 수혜', '2차전지(소재/부품)', '밸류업(24년 기업가치 제고계획 발표)', '모듈러주택']"
PS일렉트로닉스,"['휴대폰부품', '갤럭시 부품주', '스마트폰', '5G(5세대 이동통신)']"
RFHIC,"['5G(5세대 이동통신)', '통신장비']"
RF머트리얼즈,"['방위산업/전쟁 및 테러', '통신장비']"
RF시스템즈,['방위산업/전쟁 및 테러']
S-Oil,"['정유', '윤활유', '환율하락 수혜', '밸류업(25년 기업가치 제고계획 발표)', 'LPG(액화석유가스)']"
SAMG엔터,"['영상콘텐츠', '출산장려정책', '엔젤산업', '캐릭터상품']"
SBI인베스트먼트,"['4차산업 수혜주', '창투사', '야놀자(Yanolja)', '가상화폐(비트코인 등)']"
SBS,"['메타버스(Metaverse)', '영상콘텐츠', '스포츠행사 수혜(올림픽, 월드컵 등)', '미디어(방송/신문)']"
SB성보,['농업']
SCL사이언스,['콜드체인(저온 유통)']
SDN,['태양광에너지']
SFA반도체,"['시스템반도체', '반도체 장비']"
SG,"['4차산업 수혜주', 'SI(시스템통합)', '자동차부품', '클라우드 컴퓨팅', '패션/의류', '아스콘(아스팔트 콘크리트)', '핀테크(FinTech)', '우크라이나 재건', '보안주(정보)', '원자력발전', '사물인터넷', '시멘트/레미콘', '종합 물류', '온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS)', '블록체인', '건설 중소형', '가상화폐(비트코인 등)']"
SG&G,"['자동차부품', '원자력발전', '종합 물류']"
SGA솔루션즈,"['4차산업 수혜주', 'SI(시스템통합)', '클라우드 컴퓨팅', '핀테크(FinTech)', '보안주(정보)', '사물인터넷', '블록체인', '가상화폐(비트코인 등)']"
SGC E&C,['건설 중소형']
SGC에너지,['온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS)']
SG글로벌,['자동차부품']
SG세계물산,['패션/의류']
SH에너지화학,['셰일가스(Shale Gas)']
SIMPAC,['공작기계']
SJG세종,"['로봇(산업용/협동로봇 등)', '자동차부품', '수소차(연료전지/부품/충전소 등)', '온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS)']"
SJM,"['자동차부품', '지주사']"
SJM홀딩스,['지주사']
SK,"['스마트팩토리(스마트공장)', '정유', '종합상사', '자원개발', '온디바이스 AI', 'CXL(컴퓨트익스프레스링크)', '2차전지(LFP/리튬인산철)', '4차산업 수혜주', '2차전지(전고체)', '2차전지(생산)', '증권', 'UAM(도심항공모빌리티)', 'SI(시스템통합)', '조선기자재', '스마트홈(홈네트워크)', '윤활유', '메타버스(Metaverse)', 'LNG(액화천연가스)', '강관업체(Steel pipe)', '폐배터리', '셰일가스(Shale Gas)', 'STO(토큰증권 발행)', '2차전지', '자율주행차', '아이폰', '남-북-러 가스관사업', '석유화학', '풍력에너지', '3D 낸드(NAND)', '반도체 대표주(생산)', '제약업체', '5G(5세대 이동통신)', '수소차(연료전지/부품/충전소 등)', '양자암호/양자컴퓨팅', 'AI 챗봇(챗GPT 등)', '플렉서블 디스플레이', '2차전지(소재/부품)', '냉각시스템(액침냉각 등)', '전기차', 'IT 대표주', '코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '클라우드 컴퓨팅', '밸류업(25년 기업가치 제고계획 발표)', '통신', '시스템반도체', '전기차(충전소/충전기)', '치매', '철강 중소형', '유리 기판', '밸류업(24년 기업가치 제고계획 발표)', '태양광에너지', '폴더블폰', 'LPG(액화석유가스)', '고체산화물 연료전지(SOFC)', '코로나19(치료제/백신 개발 등)', '지주사', '핀테크(FinTech)', '리츠(REITs)', '코로나19(진단/치료제/백신 개발 등)', 'HBM(고대역폭메모리)', '호텔/리조트', '백신/진단시약/방역(신종플루, AI 등)', '조림사업', 'RFID(NFC 등)', '마켓컬리(kurly)', '블록체인', '모바일콘텐츠(스마트폰/태블릿PC)']"
SKAI,"['메타버스(Metaverse)', 'AI 챗봇(챗GPT 등)']"
SKC,"['2차전지', '석유화학', '플렉서블 디스플레이', '2차전지(소재/부품)', '전기차', '유리 기판', '폴더블폰']"
SK가스,"['LNG(액화천연가스)', '셰일가스(Shale Gas)', '코리아 밸류업 지수(Korea Value-up Index)', 'LPG(액화석유가스)']"
SK네트웍스,"['종합상사', '전기차(충전소/충전기)', '밸류업(24년 기업가치 제고계획 발표)', '호텔/리조트', '마켓컬리(kurly)']"
SK디스커버리,['지주사']
SK디앤디,['고체산화물 연료전지(SOFC)']
SK리츠,['리츠(REITs)']
SK바이오사이언스,"['제약업체', '코로나19(치료제/백신 개발 등)', '코로나19(진단/치료제/백신 개발 등)', '백신/진단시약/방역(신종플루, AI 등)']"
SK바이오팜,['제약업체']
SK스퀘어,"['밸류업(25년 기업가치 제고계획 발표)', '밸류업(24년 기업가치 제고계획 발표)', '지주사', 'RFID(NFC 등)', '모바일콘텐츠(스마트폰/태블릿PC)']"
SK아이이테크놀로지,"['2차전지(전고체)', '2차전지', '2차전지(소재/부품)']"
SK오션플랜트,"['조선기자재', 'LNG(액화천연가스)', '강관업체(Steel pipe)', '남-북-러 가스관사업', '풍력에너지', '철강 중소형']"
SK이노베이션,"['정유', '자원개발', '2차전지(LFP/리튬인산철)', '2차전지(전고체)', '2차전지(생산)', '윤활유', '폐배터리', '2차전지', '석유화학', '냉각시스템(액침냉각 등)', '전기차', '전력저장장치(ESS)', '밸류업(24년 기업가치 제고계획 발표)', 'LPG(액화석유가스)']"
SK이터닉스,"['풍력에너지', '전력저장장치(ESS)', '태양광에너지', '고체산화물 연료전지(SOFC)']"
SK증권,"['증권', 'STO(토큰증권 발행)']"
SK케미칼,"['석유화학', '치매', '백신/진단시약/방역(신종플루, AI 등)']"
SK텔레콤,"['4차산업 수혜주', 'UAM(도심항공모빌리티)', '스마트홈(홈네트워크)', '자율주행차', '5G(5세대 이동통신)', '양자암호/양자컴퓨팅', '코리아 밸류업 지수(Korea Value-up Index)', '클라우드 컴퓨팅', '통신', '밸류업(24년 기업가치 제고계획 발표)', '블록체인']"
SK하이닉스,"['온디바이스 AI', 'CXL(컴퓨트익스프레스링크)', '자율주행차', '아이폰', '3D 낸드(NAND)', '반도체 대표주(생산)', 'IT 대표주', '코리아 밸류업 지수(Korea Value-up Index)', '시스템반도체', '밸류업(24년 기업가치 제고계획 발표)', 'HBM(고대역폭메모리)']"
SM C&C,"['엔터테인먼트', '여행', '네옴시티', '광고', '영상콘텐츠']"
SM Life Design,['네옴시티']
SNT다이내믹스,"['공작기계', '방위산업/전쟁 및 테러', '자동차부품']"
SNT모티브,"['방위산업/전쟁 및 테러', '자동차부품', '수소차(연료전지/부품/충전소 등)', '전기차']"
