date,month_label,theme,fiedler,n_stocks,n_edges,mean_correlation,is_connected
2025-01-31,2025-01,LNG(액화천연가스),1.947343023640297,29,186,0.24800575787774531,True
2025-01-31,2025-01,유리 기판,10.954182701094869,21,196,0.4740923624743647,True
2025-01-31,2025-01,2차전지(장비),0.0,52,1094,0.43686341899056663,False
2025-01-31,2025-01,면세점,1.0000000000000013,8,21,0.3284162739039792,True
2025-01-31,2025-01,철도,1.961206967495621,47,519,0.243944245201602,True
2025-01-31,2025-01,재난/안전(지진/화재 등),0.0,25,124,0.21495278207991414,False
2025-01-31,2025-01,사물인터넷,0.0,34,262,,False
2025-01-31,2025-01,방위산업/전쟁 및 테러,0.0,59,818,,False
2025-01-31,2025-01,조선,0.0,9,23,0.34932526277688797,False
2025-01-31,2025-01,전력저장장치(ESS),1.8508349794981636,53,847,0.3192428293049164,True
2025-01-31,2025-01,건설기계,0.7888076486279948,23,146,0.3283753864622848,True
2025-01-31,2025-01,우크라이나 재건,1.9571311354709098,41,548,0.37033607254134066,True
2025-01-31,2025-01,전력설비,0.983122472270374,35,330,0.29677541145769515,True
2025-01-31,2025-01,조선기자재,2.971053289661124,36,400,0.3329338271109901,True
2025-01-31,2025-01,엠폭스(원숭이두창),5.840928184993355,20,139,0.3856396757332983,True
2025-01-31,2025-01,건설 중소형,1.8408142048936091,32,229,0.2126670910342208,True
2025-01-31,2025-01,줄기세포,0.828829210194955,21,64,0.18445316196604233,True
2025-01-31,2025-01,고령화 사회(노인복지),0.0,43,507,,False
2025-01-31,2025-01,의료기기,0.0,88,1504,,False
2025-01-31,2025-01,치매,3.9719220392894115,55,979,0.33188585916445706,True
2025-01-31,2025-01,마리화나(대마),0.7557749197726937,11,27,0.280636300074135,True
2025-01-31,2025-01,리비안(RIVIAN),0.8991988656045762,24,173,0.3433627282734574,True
2025-01-31,2025-01,전기차,0.0,115,4246,,False
2025-01-31,2025-01,자동차 대표주,2.0000000000000004,9,27,0.33528967727468206,True
2025-01-31,2025-01,해운,4.0,6,14,0.521501035683674,True
2025-01-31,2025-01,온디바이스 AI,4.633862329852925,27,263,0.38418887008054103,True
2025-01-31,2025-01,타이어,2.6563522346454915,13,49,0.3045275037105604,True
2025-01-31,2025-01,도시가스,6.0,9,34,0.5254569854688356,True
2025-01-31,2025-01,겨울,1.977448098901804,22,166,0.3702446710488147,True
2025-01-31,2025-01,탈모 치료,0.0,22,103,,False
2025-01-31,2025-01,코로나19(치료제/백신 개발 등),1.786952060371888,33,263,0.2709672408768143,True
2025-01-31,2025-01,황사/미세먼지,0.0,28,165,,False
2025-01-31,2025-01,마스크,1.7137898747271636,24,146,0.25405945280470305,True
2025-01-31,2025-01,전선,2.000000000000003,9,28,0.40145953600388645,True
2025-01-31,2025-01,카카오뱅크(kakao BANK),1.7511206662823495,11,31,0.30475415762806407,True
2025-01-31,2025-01,STO(토큰증권 발행),8.473823503393554,29,283,0.3331175307300589,True
2025-01-31,2025-01,리모델링/인테리어,0.0,25,122,0.20112898669813772,False
2025-01-31,2025-01,전자결제(전자화폐),0.0,15,49,0.2477392230651253,False
2025-01-31,2025-01,핀테크(FinTech),1.9839829189695324,37,297,0.2335369036284914,True
2025-01-31,2025-01,모바일콘텐츠(스마트폰/태블릿PC),1.940921337852195,38,354,0.24506566430422141,True
2025-01-31,2025-01,애플페이,0.0,10,27,0.31513602925322154,False
2025-01-31,2025-01,삼성페이,1.634747012013777,28,191,0.23088087008473757,True
2025-01-31,2025-01,철강 주요종목,4.772660621057349,11,44,0.41412892741517326,True
2025-01-31,2025-01,농업,0.0,27,191,0.27811115603658376,False
2025-01-31,2025-01,비료,0.0,12,44,0.32870779671897044,False
2025-01-31,2025-01,요소수,2.0000000000000004,5,8,0.38615068788560664,True
2025-01-31,2025-01,갤럭시 부품주,3.9720183933334243,41,649,0.3941106107819937,True
2025-01-31,2025-01,휴대폰부품,3.9449812762396177,51,845,0.3280206665687602,True
2025-01-31,2025-01,스마트폰,1.0025419753336202,70,1400,0.2810895234573623,True
2025-01-31,2025-01,폴더블폰,0.0,31,334,0.3520223408253213,False
2025-01-31,2025-01,석유화학,1.9819542625040356,22,173,0.3599006422837754,True
2025-01-31,2025-01,양자암호/양자컴퓨팅,0.0,28,211,0.2729478463024741,False
2025-01-31,2025-01,블록체인,2.2503100256702693,26,154,0.2619749031854689,True
2025-01-31,2025-01,드론(Drone),2.7926636742079225,30,223,0.26349888224412954,True
2025-01-31,2025-01,5G(5세대 이동통신),0.889779977992539,59,612,0.19282115016353876,True
2025-01-31,2025-01,RFID(NFC 등),0.9140978563320006,18,50,0.09861267344567297,True
2025-01-31,2025-01,통신,0.8299135133739666,5,6,0.3544549503707274,True
2025-01-31,2025-01,골프,0.8660288727716225,15,46,0.2295904906565665,True
2025-01-31,2025-01,IT 대표주,1.7537939305893169,10,28,0.3533028576287159,True
2025-01-31,2025-01,2025 상반기 신규상장,1.6972243622680052,7,13,0.2715147099276353,True
2025-01-31,2025-01,마이크로 LED,0.0,12,33,0.23949939808764248,False
2025-01-31,2025-01,스테이블코인,1.6461058663728214,22,102,0.23288226299559397,True
2025-01-31,2025-01,스마트팩토리(스마트공장),0.712573048958867,39,391,0.27408498630040606,True
2025-01-31,2025-01,리튬,0.0,25,244,,False
2025-01-31,2025-01,지능형로봇/인공지능(AI),12.366967041659018,59,1258,0.36544515184755866,True
2025-01-31,2025-01,아이폰,2.9388835897961543,26,215,0.3469191301852099,True
2025-01-31,2025-01,2차전지(전고체),18.86802229413735,33,485,0.4947846899328369,True
2025-01-31,2025-01,2차전지(나트륨이온),1.9273804458585446,12,46,0.3545171982589219,True
2025-01-31,2025-01,2차전지(생산),4.999999999999999,5,10,0.5534290174152818,True
2025-01-31,2025-01,전기차(충전소/충전기),0.979000119173564,35,401,0.3473554252840753,True
2025-01-31,2025-01,제습기,0.0,9,10,0.20974463051311665,False
2025-01-31,2025-01,공기청정기,0.0,13,32,0.2381393308954006,False
2025-01-31,2025-01,무선충전기술,0.6361004156342751,13,45,0.3418265701259782,True
2025-01-31,2025-01,니켈,0.944769165263704,16,79,0.3207927502360539,True
2025-01-31,2025-01,LED,0.0,45,558,,False
