theme,tier,signal_type_tier,signal_type_cohesion,signal_type_leadership,signal_type_combined,signal_strength,is_tier1,is_tier2,leadership_gap,current_fiedler,week_before_fiedler,fiedler_change,fiedler_pct_change,day_of_week,day_of_month,month,quarter,is_month_end,is_quarter_end,n_stocks,meta_label,meta_label_status,confidence
니켈,4,0,0,0,0,0,0,0,,0.7040676946188965,0.52622720760613,0.1778404870127665,33.795380482469554,1,3,2,1,0,0,16,0,FILTERED,0.3832182
국내 상장 중국기업,4,0,0,0,0,0,0,0,,0.6431571007878287,0.4761042144064376,0.1670528863813911,35.08746222497884,1,3,2,1,0,0,13,0,FILTERED,0.3832182
리모델링/인테리어,4,0,0,0,0,0,0,0,,1.0522108262046743,0.8946728101794569,0.1575380160252176,17.608450176731992,1,3,2,1,0,0,25,0,FILTERED,0.2884651
고령화 사회(노인복지),4,0,0,0,0,0,0,0,,1.9126557244855045,1.761357513759345,0.1512982107261595,8.589863758166674,1,3,2,1,0,0,44,0,FILTERED,0.2884651
초전도체,4,0,0,0,0,0,0,0,,0.8927136669333503,0.7504418962181534,0.1422717707151969,18.9583992354604,1,3,2,1,0,0,18,0,FILTERED,0.2884651
스페이스X(SpaceX),4,0,0,0,0,0,0,0,,0.565898174344668,0.4280349522026465,0.1378632221420215,32.20840294293359,1,3,2,1,0,0,16,0,FILTERED,0.09088661
철강 중소형,4,0,0,0,0,0,0,0,,1.92785952391373,1.790151818090707,0.1377077058230229,7.692515485636051,1,3,2,1,0,0,43,0,FILTERED,0.2884651
영상콘텐츠,4,0,0,0,0,0,0,0,,1.5658220758639714,1.4326729694353384,0.1331491064286329,9.293754350730246,1,3,2,1,0,0,38,0,FILTERED,0.2884651
줄기세포,4,0,0,0,0,0,0,0,,0.7707049279470606,0.6574494728251428,0.1132554551219178,17.226488088163634,1,3,2,1,0,0,22,0,FILTERED,0.2884651
엔터테인먼트,4,0,0,0,0,0,0,0,,1.287856990004509,1.1841797213022145,0.1036772687022944,8.755197107098152,1,3,2,1,0,0,33,0,FILTERED,0.2884651
황사/미세먼지,4,0,0,0,0,0,0,0,,1.316910000866928,1.2299631270999676,0.0869468737669605,7.069063441923309,1,3,2,1,0,0,28,0,FILTERED,0.2884651
사료,4,0,0,0,0,0,0,0,,0.8610258776395775,0.7786085004711031,0.0824173771684744,10.585214150450083,1,3,2,1,0,0,20,0,FILTERED,0.2884651
2차전지(소재/부품),4,0,0,0,0,0,0,0,,2.5045622272738237,2.432392906074748,0.072169321199075,2.9670091957116265,1,3,2,1,0,0,89,0,FILTERED,0.2884651
기업인수목적회사(SPAC),4,0,0,0,0,0,0,0,,3.122953731300023,3.051277330705306,0.071676400594717,2.349062141072209,1,3,2,1,0,0,62,0,FILTERED,0.2884651
자원개발,4,0,0,0,0,0,0,0,,0.5696297586192824,0.5042580715189807,0.0653716871003017,12.963934697838758,1,3,2,1,0,0,16,0,FILTERED,0.2884651
가상화폐(비트코인 등),4,0,0,0,0,0,0,0,,1.3512792927983603,1.2873419357572826,0.0639373570410777,4.966618057343591,1,3,2,1,0,0,31,0,FILTERED,0.2884651
게임,4,0,0,0,0,0,0,0,,1.4527394332194294,1.3896146228780597,0.0631248103413697,4.542612700104626,1,3,2,1,0,0,35,0,FILTERED,0.2884651
치아 치료(임플란트 등),4,0,0,0,0,0,0,0,,0.5031277825213509,0.4538633613217412,0.0492644211996096,10.854460923248304,1,3,2,1,0,0,16,0,FILTERED,0.2884651
코로나19(치료제/백신 개발 등),4,0,0,0,0,0,0,0,,1.3111195898407584,1.2630300966445758,0.0480894931961826,3.807470093067408,1,3,2,1,0,0,33,0,FILTERED,0.2884651
엠폭스(원숭이두창),4,0,0,0,0,0,0,0,,0.8115792481588652,0.7661162286735148,0.0454630194853503,5.934219611046082,1,3,2,1,0,0,22,0,FILTERED,0.2884651
탈모 치료,4,0,0,0,0,0,0,0,,0.9936088079772988,0.9500918346073306,0.0435169733699681,4.580291271312061,1,3,2,1,0,0,29,0,FILTERED,0.2884651
김밥(냉동김밥 등),4,0,0,0,0,0,0,0,,0.5488806897792958,0.5059640878490214,0.0429166019302744,8.482143883516233,1,3,2,1,0,0,7,0,FILTERED,0.2884651
삼성페이,4,0,0,0,0,0,0,0,,1.2330097918186729,1.195987141360602,0.0370226504580708,3.095572617607947,1,3,2,1,0,0,28,0,FILTERED,0.2884651
여름,4,0,0,0,0,0,0,0,,1.3747004242540184,1.3399476176920333,0.034752806561985,2.593594413925254,1,3,2,1,0,0,30,0,FILTERED,0.2884651
LED,4,0,0,0,0,0,0,0,,1.8215231826688276,1.7942895794980134,0.027233603170814,1.5177930854635595,1,3,2,1,0,0,44,0,FILTERED,0.2884651
편의점,4,0,0,0,0,0,0,0,,0.9166548122629304,0.906262701514772,0.0103921107481583,1.1466995972347194,1,3,2,1,0,0,7,0,FILTERED,0.2884651
