tickers,market,name,naverTheme,-1,0,1,mmt
58400,KOSDAQ,KNN,['미디어(방송/신문)'],0.094,0.903,0.002,dn/dnk
25000,KOSPI,KPX케미칼,"['석유화학', '반도체 재료/부품']",0.0,0.001,0.998,dn/dnk
92230,KOSPI,KPX홀딩스,['지주사'],0.0,0.002,0.998,dn/dnk
44450,KOSPI,KSS해운,['해운'],0.0,0.002,0.998,dn/dnk
101000,KOSDAQ,KS인더스트리,['조선기자재'],0.094,0.549,0.357,dn/dnk
30200,KOSPI,KT,"['4차산업 수혜주', 'UAM(도심항공모빌리티)', '스마트홈(홈네트워크)', '메타버스(Metaverse)', '음원/음반', '드론(Drone)', '자율주행차', '인터넷은행', '엔터테인먼트', '5G(5세대 이동통신)', '양자암호/양자컴퓨팅', '코리아 밸류업 지수(Korea Value-up Index)', '클라우드 컴퓨팅', '밸류업(25년 기업가치 제고계획 발표)', '통신', '밸류업(24년 기업가치 제고계획 발표)', '핀테크(FinTech)', '건강기능식품', 'RFID(NFC 등)', '광고', '블록체인', '모바일콘텐츠(스마트폰/태블릿PC)']",0.003,0.044,0.953,dn/dnk
33780,KOSPI,KT&G,"['코리아 밸류업 지수(Korea Value-up Index)', '밸류업(24년 기업가치 제고계획 발표)', '건강기능식품']",0.0,0.0,1.0,dn/dnk
89600,KOSDAQ,KT나스미디어,['광고'],,,,
418470,KOSDAQ,KT밀리의서재,['모바일콘텐츠(스마트폰/태블릿PC)'],,,,
43610,KOSDAQ,KT지니뮤직,"['음원/음반', '엔터테인먼트', '모바일콘텐츠(스마트폰/태블릿PC)']",,,,
122450,KOSDAQ,KX,"['밸류업(25년 기업가치 제고계획 발표)', '반도체 재료/부품', '영상콘텐츠', '골프']",0.091,0.898,0.011,dn/dnk
52900,KOSDAQ,KX하이텍,['반도체 재료/부품'],0.015,0.586,0.398,dn/dnk
61970,KOSDAQ,LB세미콘,['시스템반도체'],0.997,0.002,0.0,dn/dnk
309960,KOSDAQ,LB인베스트먼트,"['창투사', '퓨리오사AI']",,,,dn/dnk
93050,KOSPI,LF,['패션/의류'],0.04,0.175,0.786,dn/dnk
3550,KOSPI,LG,"['스마트팩토리(스마트공장)', '니켈', '2차전지(LFP/리튬인산철)', '4차산업 수혜주', '2차전지(전고체)', '2차전지(생산)', '지능형로봇/인공지능(AI)', 'UAM(도심항공모빌리티)', '휴대폰부품', 'SI(시스템통합)', '스마트홈(홈네트워크)', '스마트폰', '메타버스(Metaverse)', '폐배터리', '카메라모듈/부품', '리튬', '제습기', '고령화 사회(노인복지)', '2차전지', '자율주행차', '아이폰', '석유화학', '스페이스X(SpaceX)', '비만치료제', '공기청정기', '자동차부품', '5G(5세대 이동통신)', '양자암호/양자컴퓨팅', '플렉서블 디스플레이', '2차전지(소재/부품)', '냉각시스템(액침냉각 등)', '전기차', 'IT 대표주', '코리아 밸류업 지수(Korea Value-up Index)', '전력저장장치(ESS)', '클라우드 컴퓨팅', '통신', '전기차(충전소/충전기)', '바이오시밀러(복제 바이오의약품)', '2차전지(나트륨이온)', '가상현실(VR)', '밸류업(24년 기업가치 제고계획 발표)', '탄소나노튜브(CNT)', '폴더블폰', '무선충전기술', '지주사', '스마트카(SMART CAR)', 'OLED(유기 발광 다이오드)', '화장품', '건강기능식품', '마이크로바이옴', '마이크로 LED', '사물인터넷', 'LED', '여름', '스테이블코인', '블록체인', '음식료업종']",0.0,0.006,0.994,dn/dnk
34220,KOSPI,LG디스플레이,"['스마트폰', '아이폰', '플렉서블 디스플레이', 'IT 대표주', '밸류업(24년 기업가치 제고계획 발표)', '폴더블폰', 'OLED(유기 발광 다이오드)']",0.25,0.73,0.02,dn/dnk
51900,KOSPI,LG생활건강,"['밸류업(24년 기업가치 제고계획 발표)', '화장품', '건강기능식품', '마이크로바이옴', '여름', '음식료업종']",0.021,0.965,0.014,dn/dnk
