theme,n_stocks,current_fiedler,fiedler_change,pct_change
소매유통,24,1.480810050985716,0.5550788154452282,59.9611198298981
태양광에너지,56,1.4664277018936038,0.2779438452362588,23.38642158909808
카지노,6,1.4471411399630059,1.108061045740139,326.7844573063745
인터넷은행,34,1.4311942802561566,-0.08809784237509599,-5.798611146783273
창투사,21,1.415262324912518,0.26123289580701914,22.636588740159226
스마트팩토리(스마트공장),40,1.4077503987530002,-0.1397454575385093,-9.030425313926317
HBM(고대역폭메모리),35,1.3726779725064537,0.48563032525356775,54.746813968508356
STO(토큰증권 발행),29,1.353280069576447,-0.33905840831210243,-20.034905117511098
호텔/리조트,18,1.342012999272804,0.32765604772385304,32.301848695719315
AI 챗봇(챗GPT 등),30,1.3349824142034254,0.7241827470930468,118.56305530077809
가상현실(VR),34,1.3293664709209494,-0.05118035980585334,-3.7072527107906166
온디바이스 AI,27,1.304595651505696,-0.7881398670527955,-37.66074881720736
토스(toss),7,1.2983193879253803,0.715228896587797,122.66173213476594
핀테크(FinTech),36,1.2942255892347394,-0.2768681046665722,-17.62263483975028
영상콘텐츠,37,1.281680383261724,0.2399110345980413,23.02918922559819
우주항공산업(누리호/인공위성 등),30,1.2744629432640948,-1.0253333417852406,-44.58365936369208
조선기자재,40,1.2704329238998293,-0.4037941851732032,-24.11824435197274
자전거,4,1.259578326966472,1.1821989846300431,1527.7966301265446
남-북-러 가스관사업,19,1.2492267049224641,0.3571585833485409,40.03714231132786
두나무(Dunamu),13,1.2463782253734839,0.6085759920318257,95.41766400586174
카메라모듈/부품,32,1.2232930636176287,-0.3377897824859062,-21.63817143523356
양자암호/양자컴퓨팅,29,1.1890828363116013,0.044911612851252336,3.925252788251822
3D 낸드(NAND),21,1.1847133417159867,-1.4575913227051631,-55.163635833965344
블록체인,25,1.156937904365779,0.07445408283896193,6.878078116118748
삼성페이,28,1.152845324921886,-0.06478036366128492,-5.320219856453862
코로나19(진단키트),47,1.1268798254588397,0.16694352091244435,17.39110398489733
환율하락 수혜,24,1.1061411152383838,-0.09564032935159061,-7.958213182782275
아이폰,26,1.0930925300419854,-0.42774610932087365,-28.125673444230337
LED장비,12,1.0889802119636869,-0.42825121482200434,-28.225833400331666
코로나19(치료제/백신 개발 등),33,1.084524088909605,-0.10342373860898646,-8.706084241512523
웹툰,18,1.0838216855393688,0.3765404396859211,53.237724298990145
비철금속,26,1.0650617784854441,-0.14020217202210805,-11.632486972091641
광고,26,1.0552492924137489,0.1820711783659238,20.85155083902521
농업,25,1.0303636172176058,-0.044228242321058264,-4.1158177338181225
건설기계,23,1.0283740121693958,-0.6382450955989223,-38.29579851952872
태풍 및 장마,11,1.0275995512737244,0.49812645405114786,94.0796532749517
2차전지(전고체),33,1.0015948640632977,-1.0553405932567892,-51.306451522390375
마켓컬리(kurly),12,0.9926087421959295,0.4746831286019896,91.65083095777283
수자원(양적/질적 개선),34,0.9870962159662877,-0.2163862450444789,-17.980008189129983
엔터테인먼트,33,0.9469726402940466,0.0323927459350144,3.5418169735424057
제습기,9,0.9393665135142871,0.20546752099758292,27.996702964939185
모바일솔루션(스마트폰),24,0.9372086311063598,0.07420571633151407,8.598547590175182
클라우드 컴퓨팅,38,0.9229144630913412,-0.6037315883539899,-39.546271238340765
재난/안전(지진/화재 등),26,0.9116760357826329,-0.17512651109572797,-16.11392166854471
스테이블코인,23,0.9093317696288166,-0.2229397873010015,-19.689604135734733
항공기부품,16,0.8970722184711502,0.5755737319813043,179.0284421757249
